loan_id;customer_id;loan_type;principal_idr;interest_rate_annual;tenure_months;disbursement_date;monthly_installment_idr;outstanding_idr;status;due_date;last_payment_date
LON0025;NBC0553;kredit_barang;25953953;0.2237;48;31/07/2022;822930;19938181;written_off;03/08/2026;
LON0026;NBC0367;personal;36851771;0.1790;24;27/11/2022;1838011;0;paid_off;28/11/2024;25/03/2024
LON0027;NBC0911;kredit_barang;21389305;0.1943;12;14/11/2023;1975557;13357182;active;14/11/2024;22/11/2024
LON0028;NBC0340;personal;31208081;0.2380;48;18/08/2022;1013993;24788102;active;21/08/2026;07/10/2022
LON0029;NBC0488;personal;49541013;0.2063;12;16/08/2022;4604158;23243140;active;17/08/2023;10/03/2023
LON0030;NBC0079;modal_usaha;163724042;0.1964;6;21/03/2024;28871593;40261788;active;20/09/2024;04/02/2025
LON0031;NBC0914;modal_usaha;31885760;0.1951;36;27/10/2023;1177043;27045489;active;29/10/2026;02/11/2024
LON0032;NBC0111;modal_usaha;67726320;0.1449;36;27/07/2022;2330876;49033428;active;29/07/2025;27/08/2024
LON0033;NBC0051;kredit_barang;21403616;0.2023;48;24/01/2024;653946;7983921;active;27/01/2028;20/01/2025
LON0034;NBC0422;personal;39833210;0.1410;36;12/05/2024;1363340;16085246;active;15/05/2027;13/07/2024
LON0035;NBC0462;modal_usaha;59819971;0.1796;48;10/01/2024;1755962;40416313;active;13/01/2028;29/01/2025
LON0036;NBC0616;personal;26380950;0.1990;24;26/08/2023;1341391;8792088;active;27/08/2025;31/08/2024
LON0037;NBC0638;kredit_barang;23221368;0.1394;6;10/07/2022;4029099;13226629;active;09/01/2023;17/08/2022
LON0038;NBC0859;personal;16797244;0.1436;48;26/02/2024;462049;8095532;active;29/02/2028;07/06/2024
LON0039;NBC0715;personal;26687983;0.1300;12;16/03/2022;2383698;13490670;active;17/03/2023;07/06/2022
LON0040;NBC0653;personal;41400230;0.1689;48;06/09/2023;1192251;37886352;active;09/09/2027;04/02/2025
LON0041;NBC0662;personal;48686733;0.1875;36;17/04/2022;1778514;35678069;written_off;19/04/2025;
LON0042;NBC0338;kredit_barang;23291934;0.1848;48;05/07/2023;690056;16958948;overdue;08/07/2027;09/03/2024
LON0043;NBC0430;personal;49005130;0.1706;24;19/02/2024;2424338;0;paid_off;20/02/2026;29/07/2024
LON0044;NBC0241;modal_usaha;107024606;0.1625;24;02/10/2023;5253051;0;paid_off;03/10/2025;28/01/2025
LON0045;NBC0551;personal;26795759;0.1576;6;03/04/2022;4673477;24731982;active;03/10/2022;03/10/2024
LON0046;NBC0945;modal_usaha;95016460;0.1792;24;11/10/2023;4739939;62040457;active;12/10/2025;04/12/2024
LON0047;NBC0696;modal_usaha;190574585;0.1907;36;23/08/2023;6992452;0;paid_off;25/08/2026;03/05/2024
LON0048;NBC0744;kredit_barang;26449811;0.1661;36;21/06/2022;937882;24958180;active;23/06/2025;03/11/2023
LON0049;NBC0023;personal;40635663;0.2239;48;26/04/2024;1288890;0;paid_off;29/04/2028;15/01/2025
LON0050;NBC0010;modal_usaha;82191690;0.1659;12;12/11/2023;7480290;62700062;active;12/11/2024;21/02/2025
LON0051;NBC0378;modal_usaha;143376055;0.1295;48;05/08/2023;3842863;56890759;active;08/08/2027;10/08/2024
LON0052;NBC0866;personal;34085892;0.2237;36;28/09/2022;1308289;24727559;overdue;30/09/2025;04/03/2024
LON0053;NBC0956;modal_usaha;133627920;0.2199;48;28/02/2023;4209366;124304571;active;03/03/2027;14/02/2024
LON0054;NBC0117;personal;9713695;0.1475;12;08/01/2023;875596;6397365;active;09/01/2024;13/11/2023
LON0055;NBC0368;kredit_barang;29719767;0.1672;24;20/02/2023;1465417;18861321;overdue;21/02/2025;20/09/2023
LON0056;NBC0610;personal;27042093;0.2344;48;02/02/2024;873271;0;paid_off;05/02/2028;02/11/2024
LON0057;NBC0929;modal_usaha;97537597;0.1424;48;26/05/2023;2677116;57043210;active;29/05/2027;03/04/2024
LON0058;NBC0906;personal;36595869;0.1427;36;27/09/2022;1255564;14687802;overdue;29/09/2025;21/06/2023
LON0059;NBC0785;personal;25290413;0.2188;6;07/04/2024;4488110;0;paid_off;07/10/2024;07/07/2024
LON0060;NBC0734;kredit_barang;18172830;0.2023;48;04/04/2022;555235;16974672;active;07/04/2026;20/02/2024
LON0061;NBC0873;modal_usaha;42778747;0.2002;12;11/11/2022;3963198;0;paid_off;12/11/2023;04/07/2023
LON0062;NBC0198;kredit_barang;9539881;0.1621;12;08/04/2022;866510;3713930;active;09/04/2023;09/02/2025
LON0063;NBC0219;personal;9159220;0.2016;12;23/10/2023;849161;3838961;active;23/10/2024;01/10/2024
LON0064;NBC0047;kredit_barang;27575216;0.1427;36;15/04/2024;946076;16610548;active;18/04/2027;16/05/2024
LON0065;NBC0211;personal;12266233;0.1463;48;27/03/2022;339082;5897038;overdue;30/03/2026;13/07/2022
LON0066;NBC0922;personal;6628864;0.1710;48;13/11/2022;191619;2754758;active;16/11/2026;12/06/2024
LON0067;NBC0345;modal_usaha;29579562;0.1342;48;06/03/2022;799726;15817526;active;09/03/2026;26/12/2022
LON0068;NBC0939;modal_usaha;19120346;0.1413;12;12/05/2023;1717931;16093224;active;12/05/2024;06/06/2024
LON0069;NBC0495;personal;43888094;0.2170;6;09/05/2022;7784554;19445351;overdue;08/11/2022;12/06/2023
LON0070;NBC0493;personal;8838088;0.1476;48;15/09/2023;244897;0;paid_off;18/09/2027;26/10/2024
LON0071;NBC0108;personal;28858644;0.1423;36;14/01/2024;989547;0;paid_off;16/01/2027;01/11/2024
LON0072;NBC0440;modal_usaha;27507170;0.1358;24;28/08/2022;1315247;0;paid_off;29/08/2024;20/04/2023
LON0073;NBC0652;personal;29614382;0.1779;24;14/04/2022;1475468;18355848;active;15/04/2024;04/08/2022
LON0074;NBC0291;modal_usaha;96206512;0.2074;48;21/06/2022;2965664;36740219;active;24/06/2026;18/11/2022
LON0075;NBC0509;personal;43837988;0.1486;36;08/04/2024;1516655;32754757;active;11/04/2027;09/08/2024
LON0076;NBC0849;personal;44505943;0.1228;6;16/01/2023;7685587;31216808;overdue;18/07/2023;04/05/2023
LON0077;NBC0244;kredit_barang;3257577;0.1993;36;03/10/2023;120947;0;paid_off;05/10/2026;03/04/2024
LON0078;NBC0891;personal;10167828;0.2078;24;09/12/2023;521382;6391248;active;10/12/2025;16/01/2025
LON0079;NBC0193;modal_usaha;192504991;0.2319;12;09/05/2024;18127818;0;paid_off;10/05/2025;25/09/2024
LON0080;NBC0200;personal;15795838;0.1247;12;29/04/2023;1406916;8913195;overdue;29/04/2024;03/01/2024
LON0081;NBC0184;modal_usaha;75933065;0.1206;24;03/07/2022;3576561;57862364;active;04/07/2024;07/05/2024
LON0082;NBC0767;personal;11335526;0.2321;36;23/12/2023;440037;4081339;active;25/12/2026;11/01/2025
LON0083;NBC0160;personal;40734712;0.1956;24;30/01/2024;2064481;27003494;active;31/01/2026;16/08/2024
LON0084;NBC0748;modal_usaha;83030117;0.1222;48;07/01/2022;2195481;0;paid_off;10/01/2026;05/11/2024
LON0085;NBC0301;personal;11943374;0.1611;24;10/03/2022;585413;3648285;overdue;11/03/2024;26/04/2023
LON0086;NBC0917;kredit_barang;3596866;0.1505;36;19/10/2023;124775;1449244;active;21/10/2026;17/12/2024
LON0087;NBC0297;modal_usaha;183263217;0.1334;36;12/12/2023;6204917;83334419;active;14/12/2026;16/01/2024
LON0088;NBC0899;personal;43261214;0.1989;12;15/01/2022;4005204;21928612;active;16/01/2023;25/12/2024
LON0089;NBC0166;modal_usaha;111884110;0.2276;36;17/01/2023;4317020;0;paid_off;19/01/2026;19/07/2023
LON0090;NBC0335;kredit_barang;16804383;0.1754;36;19/05/2022;603648;3695157;active;21/05/2025;18/01/2024
LON0091;NBC0423;personal;7197157;0.2162;12;28/01/2023;672298;0;paid_off;29/01/2024;02/10/2023
LON0092;NBC0136;modal_usaha;154992340;0.1990;6;09/07/2022;27351939;86119894;active;08/01/2023;05/05/2023
LON0093;NBC0697;kredit_barang;23466381;0.2326;24;24/10/2022;1232043;0;paid_off;25/10/2024;02/07/2024
LON0094;NBC0039;modal_usaha;28983694;0.2205;48;21/05/2023;913949;15025389;active;24/05/2027;06/10/2024
LON0095;NBC0116;kredit_barang;14263764;0.2120;36;09/04/2022;538854;10449339;active;11/04/2025;16/07/2023
LON0096;NBC0740;personal;40017746;0.1504;24;18/01/2024;1941087;19294612;active;19/01/2026;15/10/2024
LON0097;NBC0223;personal;33115212;0.1656;48;09/02/2024;948019;28045922;active;12/02/2028;24/09/2024
LON0098;NBC0634;personal;19550939;0.1948;6;28/06/2022;3446110;5655016;active;28/12/2022;04/11/2024
LON0099;NBC0846;personal;48888711;0.2389;24;13/04/2023;2582116;26632606;active;14/04/2025;25/10/2023
LON0100;NBC0391;modal_usaha;186212714;0.1268;36;04/11/2023;6245579;165754673;active;06/11/2026;10/12/2024
LON0101;NBC0557;personal;35465249;0.1262;12;21/10/2022;3161340;10458811;active;22/10/2023;04/09/2023
LON0102;NBC0016;personal;23753442;0.2069;36;26/10/2023;891136;0;paid_off;28/10/2026;05/02/2025
LON0103;NBC0094;kredit_barang;16235941;0.2236;48;06/05/2024;514709;11855693;active;09/05/2028;25/10/2024
LON0104;NBC0684;personal;37128745;0.1691;48;07/08/2022;1069623;18461186;active;10/08/2026;09/11/2023
LON0105;NBC0611;modal_usaha;91488537;0.1300;24;07/03/2022;4349532;83035749;active;08/03/2024;19/09/2023
LON0106;NBC0661;kredit_barang;16514551;0.1735;24;12/09/2022;819297;7596493;active;13/09/2024;05/06/2024
LON0107;NBC0230;modal_usaha;65405233;0.1829;48;15/01/2022;1931204;47692915;active;18/01/2026;17/03/2024
LON0108;NBC0993;personal;23748513;0.2312;6;15/10/2022;4229236;21460553;active;16/04/2023;27/03/2024
LON0109;NBC0492;modal_usaha;158626048;0.2035;24;09/07/2022;8100548;32381690;active;10/07/2024;20/09/2023
LON0110;NBC0793;modal_usaha;21455463;0.1519;36;18/06/2023;745759;15087127;active;20/06/2026;03/09/2024
LON0111;NBC0072;personal;14698102;0.2325;36;03/10/2022;570876;9980335;active;05/10/2025;24/11/2024
LON0112;NBC0930;personal;29481667;0.2126;12;02/02/2023;2748829;11400681;active;03/02/2024;02/07/2023
LON0113;NBC0449;personal;38870056;0.1370;24;18/05/2022;1860759;33050443;active;19/05/2024;02/08/2024
LON0114;NBC0208;personal;40609768;0.1989;24;04/12/2022;2064685;12562384;active;05/12/2024;18/01/2025
LON0115;NBC0989;modal_usaha;29881007;0.1306;12;07/02/2024;2669731;0;paid_off;07/02/2025;28/06/2024
LON0116;NBC0633;modal_usaha;171476593;0.1764;24;18/01/2023;8531017;55709166;active;19/01/2025;03/11/2024
LON0117;NBC0518;personal;7317977;0.1684;36;29/09/2023;260323;6273905;active;01/10/2026;07/10/2024
LON0118;NBC0576;personal;48475144;0.2380;12;01/12/2022;4579100;29099020;active;02/12/2023;31/05/2023
LON0119;NBC0054;personal;36132375;0.1473;24;06/05/2024;1747306;11387560;overdue;08/05/2026;25/07/2024
LON0120;NBC0851;modal_usaha;175627207;0.1641;6;14/01/2023;30688050;42694867;active;16/07/2023;26/05/2023
LON0121;NBC0977;personal;19648720;0.2220;6;23/03/2024;3490068;11922714;active;22/09/2024;28/04/2024
LON0122;NBC0919;personal;40158684;0.1293;12;01/07/2023;3585546;27181457;active;01/07/2024;02/07/2024
LON0123;NBC0801;modal_usaha;84514671;0.1663;24;12/10/2022;4163587;26059977;active;13/10/2024;24/01/2024
LON0124;NBC0731;modal_usaha;169393341;0.1621;24;24/03/2023;8311032;0;paid_off;25/03/2025;23/03/2024
LON0125;NBC0376;modal_usaha;138800552;0.2227;48;03/02/2023;4393432;60633751;overdue;06/02/2027;22/01/2024
LON0126;NBC0249;modal_usaha;21362609;0.1289;48;10/12/2022;571940;16669157;active;13/12/2026;20/09/2023
LON0127;NBC0780;personal;40467870;0.2208;36;28/07/2022;1547162;0;paid_off;30/07/2025;02/01/2024
LON0128;NBC0216;modal_usaha;114147702;0.1457;48;22/05/2023;3151991;50366727;active;25/05/2027;01/10/2024
LON0129;NBC0262;modal_usaha;64592164;0.2061;12;21/04/2023;6002337;0;paid_off;21/04/2024;24/03/2024
LON0130;NBC0096;modal_usaha;88148814;0.1270;36;30/03/2024;2957361;60720055;active;02/04/2027;08/05/2024
LON0131;NBC0549;modal_usaha;155185104;0.1458;12;10/02/2024;13976009;0;paid_off;10/02/2025;17/11/2024
LON0132;NBC0377;personal;29684751;0.1553;24;25/03/2024;1446800;14078919;active;27/03/2026;28/02/2025
LON0133;NBC0015;personal;35901355;0.2252;36;16/05/2023;1380766;21925658;overdue;18/05/2026;29/03/2024
LON0134;NBC0125;modal_usaha;106688229;0.1855;48;12/09/2022;3164712;40648875;active;15/09/2026;03/01/2024
LON0135;NBC0304;personal;16285863;0.1670;48;04/10/2022;467405;0;paid_off;07/10/2026;13/12/2023
LON0136;NBC0486;personal;44393226;0.2206;36;19/07/2023;1696776;12075557;active;21/07/2026;15/06/2024
LON0137;NBC0541;modal_usaha;110903766;0.2228;36;13/02/2022;4251547;60080458;active;15/02/2025;08/06/2023
LON0138;NBC0466;modal_usaha;28411573;0.1643;36;02/04/2024;1004909;7861195;active;05/04/2027;16/01/2025
LON0139;NBC0083;kredit_barang;6494477;0.1218;48;27/02/2022;171599;0;paid_off;02/03/2026;11/12/2022
LON0140;NBC0778;personal;21911896;0.2146;36;26/04/2024;830716;15281652;written_off;29/04/2027;
LON0141;NBC0145;personal;41795656;0.1980;6;25/04/2023;7373711;16497530;overdue;25/10/2023;13/05/2024
LON0142;NBC0897;personal;38399850;0.1285;12;13/08/2022;3427068;23034040;active;14/08/2023;12/05/2023
LON0143;NBC0231;modal_usaha;165268149;0.1324;48;07/01/2022;4453442;92530250;overdue;10/01/2026;12/11/2022
LON0144;NBC0464;kredit_barang;15394704;0.2146;48;05/10/2023;480525;13606521;active;08/10/2027;28/11/2023
LON0145;NBC0894;modal_usaha;98371776;0.2056;6;21/12/2022;17392383;35028097;active;22/06/2023;05/02/2025
LON0146;NBC0025;modal_usaha;126568370;0.1672;12;30/03/2023;11526825;93266629;active;30/03/2024;03/02/2024
LON0147;NBC0188;personal;15836829;0.1289;24;18/10/2023;752094;0;paid_off;19/10/2025;22/01/2024
LON0148;NBC0238;modal_usaha;51064762;0.1894;24;10/04/2023;2572616;16327318;active;11/04/2025;21/06/2024
LON0149;NBC0974;modal_usaha;23620901;0.1295;6;22/06/2022;4086844;6408673;active;22/12/2022;18/01/2024
LON0150;NBC0305;personal;13269316;0.1464;24;30/01/2024;641117;7650003;active;31/01/2026;12/05/2024
LON0151;NBC0921;modal_usaha;185880888;0.1451;36;09/01/2024;6399108;67517973;active;11/01/2027;23/01/2025
LON0152;NBC0380;kredit_barang;5316210;0.2112;36;15/09/2022;200616;0;paid_off;17/09/2025;11/03/2023
LON0153;NBC0527;personal;28267292;0.1936;12;01/04/2024;2609876;24507656;active;02/04/2025;04/10/2024
LON0154;NBC0463;kredit_barang;7607411;0.1791;24;26/01/2023;379462;0;paid_off;27/01/2025;20/09/2023
LON0155;NBC0607;modal_usaha;198659426;0.1777;24;26/10/2022;9895830;0;paid_off;27/10/2024;08/01/2023
LON0156;NBC0151;kredit_barang;16679403;0.1826;24;05/03/2023;834801;6456338;active;06/03/2025;18/04/2024
LON0157;NBC0227;personal;25641272;0.1575;24;28/04/2024;1252416;0;paid_off;30/04/2026;07/07/2024
LON0158;NBC0625;personal;25078561;0.1716;12;10/09/2023;2289189;0;paid_off;10/09/2024;26/06/2024
LON0159;NBC0782;personal;41781096;0.1670;48;19/12/2022;1199120;0;paid_off;22/12/2026;27/12/2024
LON0160;NBC0950;kredit_barang;10299604;0.1442;24;02/11/2022;496560;7643159;active;03/11/2024;30/09/2024
LON0161;NBC0954;personal;11365713;0.1418;36;10/04/2023;389448;0;paid_off;12/04/2026;31/01/2025
LON0162;NBC0876;modal_usaha;41804222;0.1319;48;15/03/2024;1125449;0;paid_off;18/03/2028;31/07/2024
LON0163;NBC0926;modal_usaha;128240487;0.2057;48;20/11/2023;3941456;64610610;active;23/11/2027;03/05/2024
LON0164;NBC0701;modal_usaha;184284881;0.1270;24;07/08/2023;8735294;98348279;active;08/08/2025;03/01/2025
LON0165;NBC0307;personal;8157416;0.2377;24;05/01/2022;430356;4883552;active;07/01/2024;18/11/2023
LON0166;NBC0247;kredit_barang;24950450;0.2304;24;03/04/2022;1307233;15489353;active;04/04/2024;26/10/2023
LON0167;NBC0519;personal;26564367;0.1353;12;18/01/2024;2379267;0;paid_off;18/01/2025;24/03/2024
LON0168;NBC0856;personal;42220943;0.1421;24;18/07/2022;2031340;25243702;active;19/07/2024;14/02/2025
LON0169;NBC0538;modal_usaha;68834503;0.1964;24;01/04/2024;3491293;27071612;active;03/04/2026;18/06/2024
LON0170;NBC0469;kredit_barang;4774816;0.1713;24;02/03/2023;236376;2872842;active;03/03/2025;31/05/2024
LON0171;NBC0504;modal_usaha;56948757;0.1666;12;31/08/2023;5184813;0;paid_off;31/08/2024;02/11/2023
LON0172;NBC0048;modal_usaha;193371991;0.1362;24;14/04/2023;9249671;155132890;active;15/04/2025;25/04/2024
LON0173;NBC0162;modal_usaha;49698952;0.1606;6;10/06/2022;8675454;38357000;active;10/12/2022;13/07/2022
LON0174;NBC0254;modal_usaha;35485059;0.1310;6;21/05/2023;6142192;12813426;overdue;20/11/2023;11/11/2023
LON0175;NBC0631;modal_usaha;145453444;0.1776;48;03/06/2022;4254475;117738464;active;06/06/2026;30/05/2024
LON0176;NBC0848;modal_usaha;126959938;0.1289;48;28/08/2022;3399090;67321664;active;31/08/2026;30/01/2024
LON0177;NBC0207;modal_usaha;95395448;0.2168;48;10/06/2023;2988988;48073515;active;13/06/2027;22/11/2023
LON0178;NBC0758;personal;16135197;0.1491;12;09/02/2024;1455651;0;paid_off;09/02/2025;18/01/2025
LON0179;NBC0924;kredit_barang;20987919;0.1891;12;22/03/2024;1933273;10616030;overdue;23/03/2025;04/06/2024
LON0180;NBC0656;personal;32645739;0.2003;48;23/12/2023;993944;24063036;active;26/12/2027;03/05/2024
LON0181;NBC0392;modal_usaha;38953514;0.1665;12;13/04/2023;3546279;24976230;active;13/04/2024;03/02/2024
LON0182;NBC0777;personal;8500802;0.1337;12;24/03/2024;760745;4490609;active;25/03/2025;13/09/2024
LON0183;NBC0560;personal;11951159;0.1245;24;15/02/2023;565097;0;paid_off;16/02/2025;03/07/2024
LON0184;NBC0229;personal;48744345;0.1973;24;11/01/2023;2474458;24808434;overdue;12/01/2025;11/09/2023
LON0185;NBC0409;personal;11068433;0.2210;24;08/03/2022;574757;7202995;active;09/03/2024;22/07/2023
LON0186;NBC0705;modal_usaha;46084100;0.1479;24;25/06/2022;2229868;36253256;active;26/06/2024;11/11/2024
LON0187;NBC0511;modal_usaha;179475222;0.1745;12;18/10/2022;16407346;41778892;active;19/10/2023;02/01/2024
LON0188;NBC0009;personal;22523598;0.1884;36;18/02/2023;823805;0;paid_off;20/02/2026;15/12/2023
LON0189;NBC0979;kredit_barang;28203074;0.1764;12;15/10/2023;2580828;0;paid_off;15/10/2024;13/01/2024
LON0190;NBC0168;personal;12909939;0.1743;6;25/06/2022;2262356;0;paid_off;25/12/2022;19/10/2022
LON0191;NBC0264;personal;10730864;0.2282;48;25/04/2022;342883;7519091;active;28/04/2026;24/01/2024
LON0192;NBC0867;kredit_barang;21838757;0.1872;48;05/04/2023;649759;16618937;active;08/04/2027;08/11/2024
LON0193;NBC0165;modal_usaha;172397560;0.1976;48;21/04/2022;5224101;123668205;written_off;24/04/2026;
LON0194;NBC0583;kredit_barang;6539977;0.2070;24;29/08/2022;335098;1755467;active;30/08/2024;02/03/2024
LON0195;NBC0143;personal;48546690;0.1742;12;08/04/2022;4437371;38247886;active;09/04/2023;01/01/2025
LON0196;NBC0472;personal;35739043;0.1343;6;16/12/2023;6191992;7194460;active;16/06/2024;14/11/2024
LON0197;NBC0124;personal;15458141;0.2012;6;16/01/2022;2729641;14297783;active;18/07/2022;31/03/2023
LON0198;NBC0479;personal;49164680;0.1869;48;15/10/2022;1461999;33730995;active;18/10/2026;24/05/2023
LON0199;NBC0784;personal;18466102;0.2014;48;25/02/2023;563309;14214590;overdue;28/02/2027;20/06/2024
LON0200;NBC0182;kredit_barang;17808001;0.1327;24;27/05/2022;848885;0;paid_off;28/05/2024;02/06/2023
LON0201;NBC0082;modal_usaha;92294297;0.2292;6;29/10/2023;16426905;83254513;active;29/04/2024;08/06/2024
LON0202;NBC0650;personal;36119383;0.1661;48;26/06/2023;1034953;0;paid_off;29/06/2027;25/08/2024
LON0203;NBC0887;modal_usaha;154481730;0.1232;6;11/10/2023;26680003;38523237;active;11/04/2024;10/12/2024
LON0204;NBC0710;personal;6473413;0.1736;36;31/01/2024;231956;4117590;active;02/02/2027;20/09/2024
LON0205;NBC0658;personal;23100875;0.1903;6;10/06/2022;4066646;8955919;active;10/12/2022;10/08/2024
LON0206;NBC0857;personal;46641466;0.1687;48;02/10/2023;1342707;38496077;active;05/10/2027;12/08/2024
LON0207;NBC0630;personal;16486164;0.2122;36;17/06/2022;622981;0;paid_off;19/06/2025;15/01/2024
LON0208;NBC0442;modal_usaha;133823276;0.2240;24;11/02/2023;6968967;0;paid_off;12/02/2025;08/11/2023
LON0209;NBC0448;personal;13895047;0.1950;48;10/08/2023;419139;2889831;active;13/08/2027;16/11/2023
LON0210;NBC0716;personal;13951694;0.1286;6;27/10/2022;2413275;9020807;active;28/04/2023;08/04/2023
LON0211;NBC0028;modal_usaha;58932792;0.1532;48;07/01/2024;1649719;35927818;overdue;10/01/2028;29/02/2024
LON0212;NBC0547;personal;10711295;0.2315;24;27/10/2022;561784;0;paid_off;28/10/2024;20/02/2023
LON0213;NBC0428;personal;16353211;0.2006;48;29/01/2024;498157;0;paid_off;01/02/2028;25/07/2024
LON0214;NBC0845;personal;36035742;0.1400;36;29/05/2022;1231616;7631120;active;31/05/2025;05/05/2024
LON0215;NBC0642;modal_usaha;54064534;0.2317;6;10/01/2024;9629397;30337566;active;11/07/2024;24/06/2024
LON0216;NBC0512;personal;23052234;0.2368;36;05/05/2024;900536;8797031;active;08/05/2027;25/02/2025
LON0217;NBC0005;personal;47986768;0.1904;12;29/09/2022;4423212;36201180;active;30/09/2023;01/10/2023
LON0218;NBC0342;modal_usaha;52392893;0.1688;48;13/04/2024;1508548;0;paid_off;16/04/2028;23/02/2025
LON0219;NBC0498;personal;43338620;0.1616;12;10/12/2023;3935432;35360016;active;10/12/2024;30/04/2024
LON0220;NBC0407;personal;20545177;0.1566;12;13/12/2022;1860778;7720525;active;14/12/2023;16/03/2023
LON0221;NBC0441;personal;22919456;0.1281;48;05/06/2023;612712;20560556;written_off;08/06/2027;
LON0222;NBC0445;modal_usaha;34092901;0.1214;12;05/11/2022;3031346;21558355;active;06/11/2023;06/09/2023
LON0223;NBC0289;personal;19205172;0.2330;48;24/10/2022;618715;10765237;active;27/10/2026;24/06/2024
LON0224;NBC0272;personal;41071108;0.1404;48;26/07/2023;1123153;0;paid_off;29/07/2027;18/09/2024
LON0225;NBC0738;modal_usaha;153339448;0.2390;24;26/12/2022;8099574;87092954;active;27/12/2024;29/01/2025
LON0226;NBC0320;modal_usaha;136317066;0.2137;12;24/02/2024;12717216;91380250;active;24/02/2025;19/01/2025
LON0227;NBC0961;kredit_barang;26535549;0.1856;6;04/12/2023;4665063;11377023;overdue;04/06/2024;22/05/2024
LON0228;NBC0372;personal;11525240;0.1440;12;26/09/2023;1036988;4630982;overdue;26/09/2024;12/01/2024
LON0229;NBC0896;modal_usaha;161904813;0.1256;36;24/05/2022;5420964;45039707;active;26/05/2025;15/09/2023
LON0230;NBC0064;personal;39089876;0.2350;36;02/02/2022;1523364;27427657;active;04/02/2025;31/03/2023
LON0231;NBC0465;modal_usaha;42592862;0.1437;48;14/03/2024;1171834;12349860;active;17/03/2028;24/12/2024
LON0232;NBC0763;personal;20123737;0.2276;12;23/02/2024;1890837;9297750;active;23/02/2025;13/02/2025
LON0233;NBC0175;personal;10750031;0.1868;6;26/01/2024;1890544;9395614;active;27/07/2024;18/02/2025
LON0234;NBC0803;personal;23232474;0.1820;24;07/05/2022;1162107;0;paid_off;08/05/2024;26/11/2023
LON0235;NBC0963;modal_usaha;127351075;0.2016;12;04/02/2022;11806858;73789369;active;05/02/2023;02/05/2023
LON0236;NBC0411;kredit_barang;13320513;0.1862;6;10/11/2023;2342201;0;paid_off;11/05/2024;26/01/2024
LON0237;NBC0312;modal_usaha;45148522;0.1424;48;14/06/2023;1239192;14145600;overdue;17/06/2027;25/11/2023
LON0238;NBC0559;modal_usaha;154494874;0.1531;24;24/01/2023;7513713;33566177;active;25/01/2025;08/08/2024
