card_id;customer_id;account_id;card_type;card_number_masked;expiry_date;status;credit_limit_idr;outstanding_idr
CRD0065;NBC0995;ACC00995;debit;**** **** **** 4699;01/09/2028;active;;
CRD0066;NBC0133;ACC00133;prepaid;**** **** **** 5164;01/01/2025;active;;
CRD0067;NBC0887;ACC00887;credit;**** **** **** 6129;01/04/2027;active;75000000;19256876
CRD0068;NBC0576;ACC00576;credit;**** **** **** 7881;01/02/2027;expired;50000000;1281229
CRD0069;NBC0959;ACC00959;debit;**** **** **** 7387;01/03/2025;active;;
CRD0070;NBC0772;ACC00772;debit;**** **** **** 2477;01/05/2025;active;;
CRD0071;NBC0066;ACC00066;credit;**** **** **** 3830;01/12/2024;active;30000000;10173617
CRD0072;NBC0609;ACC00609;prepaid;**** **** **** 1962;01/09/2024;active;;
CRD0073;NBC0149;ACC01056;credit;**** **** **** 5841;01/06/2028;active;15000000;12351050
CRD0074;NBC0600;ACC00600;debit;**** **** **** 5523;01/10/2025;active;;
CRD0075;NBC0749;ACC01078;debit;**** **** **** 4377;01/09/2027;active;;
CRD0076;NBC0600;ACC00600;credit;**** **** **** 9136;01/09/2024;active;30000000;12934494
CRD0077;NBC0714;ACC00714;debit;**** **** **** 5017;01/10/2029;active;;
CRD0078;NBC0633;ACC00633;debit;**** **** **** 9477;01/12/2025;active;;
CRD0079;NBC0609;ACC00609;debit;**** **** **** 6234;01/12/2028;active;;
CRD0080;NBC0446;ACC00446;debit;**** **** **** 8323;01/08/2025;active;;
CRD0081;NBC0161;ACC00161;debit;**** **** **** 7030;01/07/2025;blocked;;
CRD0082;NBC0824;ACC00824;debit;**** **** **** 6108;01/01/2029;active;;
CRD0083;NBC0832;ACC00832;debit;**** **** **** 8169;01/05/2027;active;;
CRD0084;NBC0664;ACC00664;debit;**** **** **** 3536;01/08/2028;active;;
CRD0085;NBC0119;ACC00119;debit;**** **** **** 2536;01/10/2025;active;;
CRD0086;NBC0673;ACC00673;credit;**** **** **** 0997;01/08/2025;active;5000000;4737534
CRD0087;NBC0785;ACC00785;debit;**** **** **** 9574;01/05/2029;active;;
CRD0088;NBC0749;ACC00749;prepaid;**** **** **** 8567;01/12/2029;active;;
CRD0089;NBC0930;ACC00930;debit;**** **** **** 6118;01/12/2026;active;;
CRD0090;NBC0999;ACC00999;debit;**** **** **** 5859;01/05/2029;active;;
CRD0091;NBC0321;ACC01067;debit;**** **** **** 1776;01/10/2026;active;;
CRD0092;NBC0967;ACC00967;debit;**** **** **** 1769;01/07/2024;active;;
CRD0093;NBC0721;ACC00721;debit;**** **** **** 8294;01/08/2028;active;;
CRD0094;NBC0466;ACC00466;debit;**** **** **** 7055;01/12/2028;active;;
CRD0095;NBC0082;ACC00082;debit;**** **** **** 3437;01/05/2024;active;;
CRD0096;NBC0335;ACC00335;credit;**** **** **** 0040;01/11/2026;active;50000000;36017939
CRD0097;NBC0893;ACC00893;credit;**** **** **** 5662;01/04/2028;expired;10000000;5364029
CRD0098;NBC0762;ACC00762;prepaid;**** **** **** 2116;01/03/2028;active;;
CRD0099;NBC0488;ACC00488;debit;**** **** **** 7424;01/01/2025;active;;
CRD0100;NBC0281;ACC00281;credit;**** **** **** 2373;01/05/2028;active;50000000;23395326
CRD0101;NBC0348;ACC00348;debit;**** **** **** 4768;01/04/2028;active;;
CRD0102;NBC0599;ACC00599;debit;**** **** **** 0674;01/10/2029;active;;
CRD0103;NBC0775;ACC00775;debit;**** **** **** 4506;01/02/2025;active;;
CRD0104;NBC0433;ACC00433;debit;**** **** **** 6394;01/10/2026;active;;
CRD0105;NBC0206;ACC01130;prepaid;**** **** **** 3193;01/06/2024;blocked;;
CRD0106;NBC0985;ACC00985;credit;**** **** **** 4022;01/10/2028;blocked;5000000;150950
CRD0107;NBC0501;ACC01196;debit;**** **** **** 8993;01/02/2029;active;;
CRD0108;NBC0996;ACC00996;debit;**** **** **** 1724;01/10/2029;active;;
CRD0109;NBC0561;ACC00561;debit;**** **** **** 7684;01/07/2027;active;;
CRD0110;NBC0907;ACC00907;debit;**** **** **** 5726;01/08/2024;active;;
CRD0111;NBC0206;ACC00206;credit;**** **** **** 1855;01/10/2029;active;100000000;25524718
CRD0112;NBC0268;ACC00268;debit;**** **** **** 7040;01/03/2029;blocked;;
CRD0113;NBC0384;ACC00384;credit;**** **** **** 9709;01/03/2026;active;15000000;1191498
CRD0114;NBC0631;ACC00631;debit;**** **** **** 7767;01/10/2026;active;;
CRD0115;NBC0719;ACC00719;debit;**** **** **** 0708;01/12/2025;active;;
CRD0116;NBC0236;ACC00236;credit;**** **** **** 0689;01/04/2024;active;30000000;22668304
CRD0117;NBC0912;ACC00912;credit;**** **** **** 1127;01/09/2025;active;30000000;21237513
CRD0118;NBC0404;ACC00404;debit;**** **** **** 5246;01/04/2029;active;;
CRD0119;NBC0319;ACC00319;debit;**** **** **** 7560;01/11/2025;active;;
CRD0120;NBC0330;ACC00330;debit;**** **** **** 2223;01/04/2027;active;;
CRD0121;NBC0690;ACC00690;debit;**** **** **** 7857;01/04/2027;active;;
CRD0122;NBC0115;ACC00115;prepaid;**** **** **** 4499;01/01/2025;active;;
CRD0123;NBC0867;ACC00867;debit;**** **** **** 3215;01/05/2026;expired;;
CRD0124;NBC0395;ACC00395;credit;**** **** **** 4539;01/04/2026;active;100000000;46962668
CRD0125;NBC0890;ACC00890;credit;**** **** **** 5631;01/12/2029;active;50000000;13406864
CRD0126;NBC0091;ACC00091;debit;**** **** **** 3251;01/01/2027;active;;
CRD0127;NBC0124;ACC00124;credit;**** **** **** 6494;01/06/2028;active;30000000;10008650
CRD0128;NBC0161;ACC00161;debit;**** **** **** 9694;01/06/2029;active;;
CRD0129;NBC0289;ACC01161;credit;**** **** **** 9734;01/12/2027;active;10000000;1128022
CRD0130;NBC0890;ACC00890;debit;**** **** **** 4996;01/11/2028;active;;
CRD0131;NBC0489;ACC00489;debit;**** **** **** 9793;01/01/2026;active;;
CRD0132;NBC0902;ACC00902;debit;**** **** **** 0086;01/01/2027;active;;
CRD0133;NBC0363;ACC00363;credit;**** **** **** 0864;01/01/2029;active;15000000;1799412
CRD0134;NBC0738;ACC00738;debit;**** **** **** 9062;01/07/2026;active;;
CRD0135;NBC0258;ACC00258;prepaid;**** **** **** 6920;01/07/2026;active;;
CRD0136;NBC0721;ACC00721;debit;**** **** **** 0312;01/03/2025;active;;
CRD0137;NBC0242;ACC00242;debit;**** **** **** 9000;01/08/2027;active;;
CRD0138;NBC0202;ACC00202;credit;**** **** **** 0135;01/12/2026;active;75000000;45446609
CRD0139;NBC0447;ACC00447;credit;**** **** **** 4696;01/06/2029;active;15000000;8830242
CRD0140;NBC0377;ACC00377;debit;**** **** **** 6144;01/08/2029;active;;
CRD0141;NBC0508;ACC00508;debit;**** **** **** 8677;01/05/2025;active;;
CRD0142;NBC0106;ACC00106;credit;**** **** **** 8837;01/11/2026;blocked;20000000;5624343
CRD0143;NBC0835;ACC00835;prepaid;**** **** **** 8852;01/07/2024;active;;
CRD0144;NBC0070;ACC00070;debit;**** **** **** 5137;01/09/2025;active;;
CRD0145;NBC0787;ACC00787;prepaid;**** **** **** 0885;01/08/2027;active;;
CRD0146;NBC0196;ACC00196;debit;**** **** **** 4033;01/06/2026;blocked;;
CRD0147;NBC0345;ACC00345;debit;**** **** **** 1576;01/01/2025;active;;
CRD0148;NBC0455;ACC00455;debit;**** **** **** 2098;01/07/2026;active;;
CRD0149;NBC0038;ACC00038;debit;**** **** **** 2281;01/01/2027;active;;
CRD0150;NBC0214;ACC00214;debit;**** **** **** 8679;01/06/2025;active;;
CRD0151;NBC0648;ACC00648;debit;**** **** **** 3518;01/10/2029;active;;
CRD0152;NBC0230;ACC01019;debit;**** **** **** 9822;01/12/2026;active;;
CRD0153;NBC0214;ACC00214;debit;**** **** **** 4242;01/10/2024;active;;
CRD0154;NBC0592;ACC00592;prepaid;**** **** **** 7802;01/08/2025;expired;;
CRD0155;NBC0835;ACC00835;credit;**** **** **** 9638;01/07/2026;active;30000000;17421634
CRD0156;NBC0526;ACC00526;debit;**** **** **** 4035;01/04/2029;blocked;;
CRD0157;NBC0695;ACC00695;credit;**** **** **** 1012;01/06/2024;blocked;5000000;2070341
CRD0158;NBC0628;ACC00628;debit;**** **** **** 2516;01/02/2027;blocked;;
CRD0159;NBC0060;ACC00060;debit;**** **** **** 6551;01/06/2025;active;;
CRD0160;NBC0817;ACC00817;prepaid;**** **** **** 9949;01/03/2025;active;;
CRD0161;NBC0016;ACC00016;credit;**** **** **** 3018;01/08/2027;active;100000000;43582075
CRD0162;NBC0150;ACC00150;debit;**** **** **** 7670;01/12/2027;active;;
CRD0163;NBC0043;ACC00043;credit;**** **** **** 3625;01/11/2027;active;5000000;320122
CRD0164;NBC0282;ACC00282;debit;**** **** **** 7904;01/12/2025;active;;
CRD0165;NBC0867;ACC01192;debit;**** **** **** 8607;01/03/2024;active;;
CRD0166;NBC0987;ACC01197;debit;**** **** **** 9617;01/02/2027;blocked;;
CRD0167;NBC0822;ACC00822;credit;**** **** **** 3840;01/06/2029;blocked;100000000;73052608
CRD0168;NBC0897;ACC00897;debit;**** **** **** 9826;01/10/2029;active;;
CRD0169;NBC0410;ACC00410;prepaid;**** **** **** 6309;01/01/2026;expired;;
CRD0170;NBC0510;ACC01009;debit;**** **** **** 0468;01/04/2027;active;;
CRD0171;NBC0779;ACC01144;debit;**** **** **** 3692;01/06/2026;active;;
CRD0172;NBC0842;ACC00842;debit;**** **** **** 7410;01/06/2028;active;;
CRD0173;NBC0329;ACC00329;debit;**** **** **** 0146;01/09/2025;active;;
CRD0174;NBC0348;ACC00348;debit;**** **** **** 9458;01/05/2026;active;;
CRD0175;NBC0398;ACC01064;debit;**** **** **** 9366;01/10/2029;expired;;
CRD0176;NBC0538;ACC00538;credit;**** **** **** 1931;01/07/2025;active;10000000;8635345
CRD0177;NBC0782;ACC00782;debit;**** **** **** 0807;01/06/2025;active;;
CRD0178;NBC0865;ACC00865;debit;**** **** **** 4480;01/11/2028;active;;
CRD0179;NBC0674;ACC00674;credit;**** **** **** 8589;01/08/2026;active;50000000;7148395
CRD0180;NBC0943;ACC00943;prepaid;**** **** **** 2288;01/02/2027;active;;
CRD0181;NBC0944;ACC00944;debit;**** **** **** 8761;01/02/2026;active;;
CRD0182;NBC0348;ACC00348;credit;**** **** **** 8601;01/12/2027;active;10000000;5609856
CRD0183;NBC0991;ACC00991;credit;**** **** **** 6139;01/12/2029;active;100000000;92748129
CRD0184;NBC0795;ACC01010;prepaid;**** **** **** 1804;01/05/2029;active;;
CRD0185;NBC0407;ACC01195;credit;**** **** **** 1870;01/08/2026;blocked;30000000;9000409
CRD0186;NBC0217;ACC00217;credit;**** **** **** 4941;01/02/2025;active;15000000;2801715
CRD0187;NBC0646;ACC00646;debit;**** **** **** 2245;01/02/2025;active;;
CRD0188;NBC0901;ACC00901;credit;**** **** **** 6043;01/08/2024;active;50000000;43333837
CRD0189;NBC0530;ACC00530;debit;**** **** **** 1914;01/06/2025;active;;
CRD0190;NBC0854;ACC00854;debit;**** **** **** 9546;01/11/2025;active;;
CRD0191;NBC0172;ACC01023;debit;**** **** **** 4982;01/09/2027;active;;
CRD0192;NBC0011;ACC00011;debit;**** **** **** 1697;01/01/2025;active;;
CRD0193;NBC0644;ACC00644;prepaid;**** **** **** 9483;01/03/2026;blocked;;
CRD0194;NBC0874;ACC00874;credit;**** **** **** 0390;01/10/2026;blocked;10000000;6085973
CRD0195;NBC0672;ACC00672;debit;**** **** **** 7365;01/05/2028;expired;;
CRD0196;NBC0150;ACC00150;credit;**** **** **** 2901;01/10/2028;active;30000000;14349310
CRD0197;NBC0566;ACC00566;debit;**** **** **** 9485;01/06/2027;active;;
CRD0198;NBC0352;ACC00352;prepaid;**** **** **** 5283;01/09/2026;active;;
CRD0199;NBC0812;ACC00812;debit;**** **** **** 4842;01/02/2027;active;;
CRD0200;NBC0284;ACC00284;credit;**** **** **** 3866;01/07/2025;active;10000000;2111876
CRD0201;NBC0150;ACC00150;prepaid;**** **** **** 1481;01/06/2024;active;;
CRD0202;NBC0210;ACC00210;debit;**** **** **** 6052;01/07/2027;active;;
CRD0203;NBC0826;ACC00826;debit;**** **** **** 3518;01/07/2024;blocked;;
CRD0204;NBC0893;ACC00893;debit;**** **** **** 5508;01/01/2027;active;;
CRD0205;NBC0265;ACC00265;debit;**** **** **** 3427;01/11/2025;active;;
CRD0206;NBC0296;ACC00296;debit;**** **** **** 7034;01/10/2024;active;;
CRD0207;NBC0949;ACC00949;credit;**** **** **** 8239;01/01/2028;expired;75000000;31714180
CRD0208;NBC0746;ACC00746;credit;**** **** **** 8259;01/12/2029;active;75000000;63906985
CRD0209;NBC0510;ACC01009;credit;**** **** **** 9530;01/03/2025;active;75000000;70285610
CRD0210;NBC0693;ACC00693;debit;**** **** **** 2123;01/01/2028;active;;
CRD0211;NBC0483;ACC00483;debit;**** **** **** 8156;01/03/2025;active;;
CRD0212;NBC0842;ACC00842;debit;**** **** **** 2329;01/09/2028;active;;
CRD0213;NBC0159;ACC00159;prepaid;**** **** **** 1872;01/12/2025;active;;
CRD0214;NBC0909;ACC00909;credit;**** **** **** 4638;01/12/2029;active;30000000;8607531
CRD0215;NBC0643;ACC00643;debit;**** **** **** 6129;01/06/2025;active;;
CRD0216;NBC0083;ACC00083;credit;**** **** **** 3986;01/07/2029;active;5000000;1195727
CRD0217;NBC0638;ACC00638;debit;**** **** **** 8413;01/06/2026;blocked;;
CRD0218;NBC0114;ACC01134;credit;**** **** **** 6700;01/04/2027;active;50000000;10696374
CRD0219;NBC0081;ACC00081;credit;**** **** **** 7413;01/11/2026;active;75000000;17975700
CRD0220;NBC0100;ACC00100;debit;**** **** **** 1046;01/04/2024;active;;
CRD0221;NBC0226;ACC00226;prepaid;**** **** **** 3110;01/12/2028;active;;
CRD0222;NBC0680;ACC01198;credit;**** **** **** 7290;01/07/2025;active;10000000;9451894
CRD0223;NBC0956;ACC00956;debit;**** **** **** 7552;01/06/2029;active;;
CRD0224;NBC0270;ACC00270;credit;**** **** **** 6042;01/11/2027;active;30000000;3633367
CRD0225;NBC0621;ACC01200;debit;**** **** **** 1109;01/04/2027;active;;
CRD0226;NBC0865;ACC00865;debit;**** **** **** 0567;01/01/2028;active;;
CRD0227;NBC0350;ACC00350;debit;**** **** **** 6857;01/07/2028;active;;
CRD0228;NBC0517;ACC00517;debit;**** **** **** 4618;01/04/2024;active;;
CRD0229;NBC0077;ACC00077;prepaid;**** **** **** 5339;01/12/2027;blocked;;
CRD0230;NBC0283;ACC01178;debit;**** **** **** 3391;01/11/2024;active;;
CRD0231;NBC0858;ACC00858;credit;**** **** **** 7855;01/04/2027;active;15000000;12969511
CRD0232;NBC0051;ACC00051;debit;**** **** **** 5041;01/07/2027;active;;
CRD0233;NBC0828;ACC00828;credit;**** **** **** 6122;01/12/2025;active;50000000;8971566
CRD0234;NBC0580;ACC00580;debit;**** **** **** 8292;01/12/2027;active;;
CRD0235;NBC0912;ACC00912;debit;**** **** **** 3196;01/07/2024;active;;
CRD0236;NBC0860;ACC00860;prepaid;**** **** **** 3497;01/06/2024;active;;
CRD0237;NBC0165;ACC01129;credit;**** **** **** 3760;01/10/2029;blocked;15000000;8971134
CRD0238;NBC0855;ACC00855;debit;**** **** **** 0407;01/10/2024;active;;
CRD0239;NBC0222;ACC00222;debit;**** **** **** 9379;01/04/2027;active;;
CRD0240;NBC0094;ACC00094;debit;**** **** **** 7616;01/02/2028;active;;
CRD0241;NBC0315;ACC00315;debit;**** **** **** 6131;01/08/2029;blocked;;
CRD0242;NBC0056;ACC00056;debit;**** **** **** 4708;01/11/2028;active;;
CRD0243;NBC0135;ACC00135;credit;**** **** **** 8545;01/03/2029;active;50000000;32543854
CRD0244;NBC0439;ACC00439;debit;**** **** **** 3894;01/12/2027;active;;
CRD0245;NBC0948;ACC01088;debit;**** **** **** 3338;01/09/2025;active;;
CRD0246;NBC0680;ACC01198;debit;**** **** **** 0205;01/11/2026;active;;
CRD0247;NBC0995;ACC00995;debit;**** **** **** 2482;01/11/2026;active;;
CRD0248;NBC0883;ACC00883;debit;**** **** **** 7233;01/03/2025;blocked;;
CRD0249;NBC0322;ACC00322;debit;**** **** **** 3253;01/06/2028;active;;
CRD0250;NBC0164;ACC01162;debit;**** **** **** 1895;01/03/2025;active;;
CRD0251;NBC0411;ACC00411;debit;**** **** **** 8813;01/10/2028;blocked;;
CRD0252;NBC0370;ACC00370;debit;**** **** **** 5099;01/04/2029;blocked;;
CRD0253;NBC0194;ACC00194;debit;**** **** **** 3636;01/10/2027;active;;
CRD0254;NBC0648;ACC00648;credit;**** **** **** 6207;01/09/2025;active;100000000;43908984
CRD0255;NBC0557;ACC00557;debit;**** **** **** 1825;01/11/2025;active;;
CRD0256;NBC0172;ACC01023;debit;**** **** **** 7857;01/08/2029;blocked;;
CRD0257;NBC0344;ACC00344;debit;**** **** **** 2389;01/03/2025;active;;
CRD0258;NBC0890;ACC00890;debit;**** **** **** 3221;01/02/2025;active;;
CRD0259;NBC0446;ACC00446;prepaid;**** **** **** 6254;01/08/2029;active;;
CRD0260;NBC0628;ACC00628;credit;**** **** **** 8838;01/08/2027;expired;75000000;43548634
CRD0261;NBC0172;ACC01023;credit;**** **** **** 0863;01/02/2025;active;5000000;2313179
CRD0262;NBC0039;ACC00039;debit;**** **** **** 5208;01/02/2026;active;;
CRD0263;NBC0801;ACC00801;prepaid;**** **** **** 4757;01/10/2025;active;;
CRD0264;NBC0489;ACC01049;debit;**** **** **** 6080;01/02/2029;active;;
CRD0265;NBC0518;ACC00518;credit;**** **** **** 7246;01/05/2029;active;75000000;15308410
CRD0266;NBC0314;ACC01126;credit;**** **** **** 7873;01/10/2025;expired;5000000;4357524
CRD0267;NBC0365;ACC00365;prepaid;**** **** **** 9520;01/11/2025;active;;
CRD0268;NBC0048;ACC00048;debit;**** **** **** 1012;01/02/2029;active;;
CRD0269;NBC0175;ACC01123;credit;**** **** **** 6629;01/09/2026;active;15000000;11922729
CRD0270;NBC0128;ACC00128;debit;**** **** **** 1264;01/12/2029;active;;
CRD0271;NBC0398;ACC01064;debit;**** **** **** 0233;01/12/2026;active;;
CRD0272;NBC0630;ACC00630;debit;**** **** **** 6591;01/03/2027;active;;
CRD0273;NBC0174;ACC00174;credit;**** **** **** 9033;01/01/2025;active;100000000;20363517
CRD0274;NBC0712;ACC01148;debit;**** **** **** 8454;01/08/2026;active;;
CRD0275;NBC0838;ACC00838;debit;**** **** **** 6077;01/05/2028;active;;
CRD0276;NBC0130;ACC00130;debit;**** **** **** 0766;01/02/2027;active;;
CRD0277;NBC0655;ACC00655;prepaid;**** **** **** 8731;01/06/2025;active;;
CRD0278;NBC0070;ACC00070;debit;**** **** **** 2283;01/03/2028;active;;
CRD0279;NBC0906;ACC00906;credit;**** **** **** 2079;01/03/2026;blocked;15000000;13650227
CRD0280;NBC0042;ACC01015;credit;**** **** **** 1983;01/02/2026;active;20000000;17514031
CRD0281;NBC0318;ACC00318;debit;**** **** **** 1682;01/05/2024;active;;
CRD0282;NBC0497;ACC00497;debit;**** **** **** 5080;01/04/2025;active;;
CRD0283;NBC0957;ACC00957;prepaid;**** **** **** 9132;01/10/2026;active;;
CRD0284;NBC0736;ACC00736;credit;**** **** **** 3608;01/05/2024;active;30000000;1024393
CRD0285;NBC0943;ACC01114;debit;**** **** **** 5458;01/10/2029;active;;
CRD0286;NBC0179;ACC00179;credit;**** **** **** 0531;01/12/2025;blocked;30000000;8057727
CRD0287;NBC0119;ACC00119;credit;**** **** **** 7100;01/03/2027;active;10000000;6351064
CRD0288;NBC0871;ACC01119;debit;**** **** **** 4946;01/11/2028;active;;
CRD0289;NBC0686;ACC00686;prepaid;**** **** **** 9452;01/08/2028;active;;
CRD0290;NBC0988;ACC00988;debit;**** **** **** 9367;01/02/2024;active;;
CRD0291;NBC0126;ACC00126;prepaid;**** **** **** 8150;01/05/2024;active;;
CRD0292;NBC0218;ACC00218;prepaid;**** **** **** 3162;01/06/2028;expired;;
CRD0293;NBC0234;ACC00234;debit;**** **** **** 9832;01/02/2027;active;;
CRD0294;NBC0849;ACC00849;debit;**** **** **** 5773;01/11/2028;blocked;;
CRD0295;NBC0567;ACC00567;prepaid;**** **** **** 6244;01/09/2028;expired;;
CRD0296;NBC0427;ACC00427;credit;**** **** **** 4999;01/11/2029;active;30000000;19156510
CRD0297;NBC0618;ACC01006;debit;**** **** **** 1899;01/01/2025;active;;
CRD0298;NBC0114;ACC01134;credit;**** **** **** 5036;01/02/2025;active;5000000;3900800
CRD0299;NBC0530;ACC00530;debit;**** **** **** 9576;01/08/2025;active;;
CRD0300;NBC0709;ACC00709;debit;**** **** **** 6108;01/09/2029;active;;
CRD0301;NBC0794;ACC00794;credit;**** **** **** 8512;01/06/2026;active;15000000;3360166
CRD0302;NBC0861;ACC00861;credit;**** **** **** 7628;01/04/2029;active;75000000;59791526
CRD0303;NBC0996;ACC00996;credit;**** **** **** 9019;01/03/2024;active;30000000;28142010
CRD0304;NBC0414;ACC00414;debit;**** **** **** 2288;01/10/2028;active;;
CRD0305;NBC0096;ACC00096;credit;**** **** **** 0021;01/08/2025;active;15000000;3212179
CRD0306;NBC0740;ACC00740;debit;**** **** **** 2944;01/01/2024;active;;
CRD0307;NBC0179;ACC00179;debit;**** **** **** 3476;01/02/2029;blocked;;
CRD0308;NBC0674;ACC00674;credit;**** **** **** 1999;01/04/2029;active;50000000;17267211
CRD0309;NBC0996;ACC00996;debit;**** **** **** 6780;01/03/2026;active;;
CRD0310;NBC0889;ACC00889;credit;**** **** **** 5782;01/01/2026;active;100000000;64514530
CRD0311;NBC0067;ACC00067;credit;**** **** **** 8065;01/10/2025;active;30000000;1961212
CRD0312;NBC0439;ACC00439;debit;**** **** **** 8313;01/08/2029;active;;
CRD0313;NBC0614;ACC00614;debit;**** **** **** 3335;01/03/2024;active;;
CRD0314;NBC0201;ACC00201;debit;**** **** **** 1286;01/03/2025;active;;
