trx_id;account_id;trx_type;amount_idr;merchant_name;merchant_category;trx_date;trx_time;balance_after_idr;status;channel
TRX000047;ACC00544;credit;2539483;Uniqlo;shopping;24/05/2023;15:38:30;6130818;success;mobile_app
TRX000048;ACC00496;debit;607736;Lazada;shopping;06/08/2023;17:53:19;200462749;success;atm
TRX000049;ACC01011;credit;4498505;Indomaret;groceries;12/06/2024;13:08:12;7961363;success;mobile_app
TRX000050;ACC01025;transfer_in;32887978;Transfer;transfer;29/08/2022;04:21:23;107869201;success;mobile_app
TRX000051;ACC00841;top_up;985311;Telkomsel;bills;01/06/2024;14:16:39;291891959;success;mobile_app
TRX000052;ACC00738;debit;334774;Pertamina;transport;30/10/2022;21:30:25;90985039;success;mobile_app
TRX000053;ACC00157;top_up;866724;Gojek;transport;18/02/2023;08:06:31;16543041;success;mobile_app
TRX000054;ACC00830;debit;774489;Zalora;shopping;08/05/2023;09:22:22;137316831;success;mobile_app
TRX000055;ACC01064;transfer_out;4178068;Transfer;transfer;18/05/2024;17:42:13;47601867;success;mobile_app
TRX000056;ACC01191;transfer_in;27924160;Transfer;transfer;29/04/2024;16:03:35;252844985;success;merchant
TRX000057;ACC00019;debit;1695130;GoFood;food_delivery;26/10/2024;13:48:45;466293652;success;mobile_app
TRX000058;ACC00505;debit;196215;Lazada;shopping;23/08/2024;17:20:49;38724706;success;mobile_app
TRX000059;ACC01123;transfer_in;15069808;Transfer;transfer;11/03/2024;17:24:56;226050623;success;merchant
TRX000060;ACC00609;transfer_out;22472066;Transfer;transfer;10/05/2024;01:33:36;61629075;success;web
TRX000061;ACC00858;transfer_in;1740394;Transfer;transfer;30/06/2022;01:23:23;12345787;success;mobile_app
TRX000062;ACC00196;debit;784738;Spotify;entertainment;31/03/2022;05:25:18;41132164;success;mobile_app
TRX000063;ACC00479;transfer_in;49328896;Transfer;transfer;02/05/2023;22:13:36;18602812;success;mobile_app
TRX000064;ACC01116;transfer_in;12511178;Transfer;transfer;05/01/2022;21:42:56;50836691;success;web
TRX000065;ACC01095;credit;1103339;Transmart;groceries;09/03/2023;16:19:18;37957176;success;web
TRX000066;ACC00244;transfer_out;13881610;Transfer;transfer;16/07/2024;13:25:15;14663235;success;mobile_app
TRX000067;ACC00020;credit;5066012;Lotte Mart;groceries;09/07/2022;05:18:11;258273254;success;mobile_app
TRX000068;ACC00718;credit;2548115;Superindo;groceries;21/09/2023;08:54:01;37780712;success;mobile_app
TRX000069;ACC00488;transfer_out;25718597;Transfer;transfer;07/12/2022;15:38:52;44765843;success;mobile_app
TRX000070;ACC00600;credit;5540541;Indomaret;groceries;30/01/2025;15:28:52;412737757;success;mobile_app
TRX000071;ACC00419;debit;1114097;Ruangguru;education;19/09/2023;08:24:52;25359888;success;web
TRX000072;ACC00817;debit;1709476;Lazada;shopping;14/06/2024;12:19:41;25387662;success;mobile_app
TRX000073;ACC00688;debit;330017;Watsons;health;23/01/2022;17:36:51;141367790;success;mobile_app
TRX000074;ACC00948;credit;8763426;Salary;transfer;07/09/2022;21:34:11;90756859;success;web
TRX000075;ACC00362;debit;1629234;Bluebird;transport;25/02/2024;17:31:08;39098643;success;mobile_app
TRX000076;ACC00568;credit;3915534;Uniqlo;shopping;16/02/2025;08:03:24;18276142;failed;mobile_app
TRX000077;ACC01005;credit;5096614;Transmart;groceries;01/11/2023;15:32:15;1905178;success;mobile_app
TRX000078;ACC00805;debit;817491;Uniqlo;shopping;09/07/2024;21:25:41;49497977;success;mobile_app
TRX000079;ACC00301;credit;85718;Salary;transfer;24/12/2023;10:04:54;16918372;success;mobile_app
TRX000080;ACC01179;transfer_in;17624692;Transfer;transfer;08/06/2023;19:16:13;206353009;success;mobile_app
TRX000081;ACC00411;credit;6218060;Tokopedia;shopping;07/06/2023;13:22:12;39914241;success;mobile_app
TRX000082;ACC00442;debit;622031;Gojek;transport;10/11/2024;13:28:16;4648590;success;merchant
TRX000083;ACC00245;transfer_out;4656622;Transfer;transfer;14/04/2022;07:20:05;42205112;success;mobile_app
TRX000084;ACC00850;transfer_in;44217177;Transfer;transfer;14/02/2022;10:26:23;5834787;success;mobile_app
TRX000085;ACC00562;debit;1797229;Tokopedia;shopping;17/01/2025;02:40:16;67681411;success;mobile_app
TRX000086;ACC00467;transfer_out;16850847;Transfer;transfer;01/09/2024;13:26:45;29466800;success;mobile_app
TRX000087;ACC00123;transfer_in;46528541;Transfer;transfer;08/04/2022;08:08:13;40945328;success;web
TRX000088;ACC00236;debit;95054;Hokben;food_delivery;02/10/2024;01:02:23;10560546;success;mobile_app
TRX000089;ACC00202;credit;5914840;Uniqlo;shopping;29/08/2023;18:53:49;32789464;success;mobile_app
TRX000090;ACC00051;debit;288303;Ruangguru;education;05/01/2023;11:39:39;31475074;success;mobile_app
TRX000091;ACC00277;transfer_out;7283288;Transfer;transfer;11/10/2023;16:52:12;0;success;mobile_app
TRX000092;ACC00015;transfer_in;32254196;Transfer;transfer;21/01/2024;03:14:02;3515562;failed;mobile_app
TRX000093;ACC00026;transfer_in;10377234;Transfer;transfer;14/10/2022;03:25:35;131133459;success;mobile_app
TRX000094;ACC00706;debit;1972645;XXI Cinema;entertainment;14/08/2022;09:28:15;493697885;success;mobile_app
TRX000095;ACC00698;debit;1288401;Pertamina;transport;01/08/2023;07:51:05;20633364;success;mobile_app
TRX000096;ACC01036;credit;6729738;Salary;transfer;26/12/2022;07:12:25;18283234;success;mobile_app
TRX000097;ACC00870;debit;56495;Alodokter;health;29/05/2023;14:20:21;30449253;success;mobile_app
TRX000098;ACC01024;credit;2379447;Salary;transfer;11/05/2023;12:40:57;10531000;success;merchant
TRX000099;ACC00141;debit;1528386;Tokopedia;shopping;16/01/2022;00:56:22;24666995;success;web
TRX000100;ACC01199;debit;1224350;Hypermart;groceries;04/08/2024;02:49:04;92834314;success;mobile_app
TRX000101;ACC00225;transfer_out;15271632;Transfer;transfer;19/02/2023;05:15:23;30900204;success;web
TRX000102;ACC00576;transfer_out;7812698;Transfer;transfer;04/02/2022;20:55:23;42566061;success;web
TRX000103;ACC00695;transfer_out;23567056;Transfer;transfer;17/10/2023;02:55:55;20629942;success;mobile_app
TRX000104;ACC01165;transfer_out;14893175;Transfer;transfer;31/08/2023;06:09:55;13170312;success;merchant
TRX000105;ACC00571;debit;579187;Pertamina;transport;27/06/2023;13:47:33;32534271;success;atm
TRX000106;ACC00808;transfer_out;19294710;Transfer;transfer;20/02/2022;04:46:02;178792595;success;mobile_app
TRX000107;ACC00161;debit;649173;Hypermart;groceries;21/07/2022;01:38:14;194277781;success;mobile_app
TRX000108;ACC00955;transfer_out;24323443;Transfer;transfer;23/05/2023;07:26:12;17803578;success;mobile_app
TRX000109;ACC00774;credit;6229124;Hypermart;groceries;01/02/2023;14:44:55;126824697;success;mobile_app
TRX000110;ACC00695;debit;1627048;PDAM;bills;12/07/2024;14:02:40;16068535;success;mobile_app
TRX000111;ACC01138;debit;1575924;Telkomsel;bills;06/05/2022;03:52:11;25196158;success;merchant
TRX000112;ACC00421;transfer_in;45731443;Transfer;transfer;04/04/2023;06:58:58;40938904;success;merchant
TRX000113;ACC01157;debit;1356253;Blibli;shopping;19/12/2024;03:29:24;28524152;success;mobile_app
TRX000114;ACC00088;credit;1633664;Uniqlo;shopping;30/04/2023;22:49:36;45037635;success;mobile_app
TRX000115;ACC00173;top_up;728936;MyPertamina;transport;14/01/2024;18:05:49;3679623;success;atm
TRX000116;ACC00478;debit;1374113;McDonald's;food_delivery;10/03/2023;12:18:41;106780947;success;mobile_app
TRX000117;ACC00641;transfer_out;1498221;Transfer;transfer;29/02/2024;11:45:45;43969312;failed;mobile_app
TRX000118;ACC00371;top_up;360275;Spotify;entertainment;25/01/2024;14:01:42;52508420;success;mobile_app
TRX000119;ACC00902;debit;557272;Alodokter;health;26/01/2022;15:34:56;49005820;success;mobile_app
TRX000120;ACC00365;transfer_in;48501476;Transfer;transfer;09/01/2023;14:07:37;47584558;success;mobile_app
TRX000121;ACC00064;transfer_out;27906713;Transfer;transfer;24/02/2024;23:52:04;34119401;success;web
TRX000122;ACC01066;credit;384996;Indomaret;groceries;24/02/2022;19:56:50;304513842;success;mobile_app
TRX000123;ACC00008;transfer_in;4663618;Transfer;transfer;25/07/2023;18:00:52;40296604;success;mobile_app
TRX000124;ACC01151;debit;1839465;Spotify;entertainment;20/10/2024;22:25:42;12713438;success;web
TRX000125;ACC00059;debit;1780014;Coursera;education;02/10/2024;15:50:03;351301562;success;mobile_app
TRX000126;ACC01141;debit;818865;Gojek;transport;04/08/2022;18:21:27;304355241;success;mobile_app
TRX000127;ACC01059;debit;1039401;Zenius;education;14/10/2023;19:23:24;363534804;success;atm
TRX000128;ACC00275;top_up;867143;PDAM;bills;17/03/2022;11:55:52;184541476;success;mobile_app
TRX000129;ACC00901;credit;9595123;Lotte Mart;groceries;30/07/2024;09:46:33;38679968;success;mobile_app
TRX000130;ACC00106;debit;758524;McDonald's;food_delivery;14/08/2024;23:17:56;44820807;success;mobile_app
TRX000131;ACC01165;debit;1145272;KFC;food_delivery;25/09/2022;23:07:31;19685988;success;mobile_app
TRX000132;ACC00899;credit;4783741;Blibli;shopping;04/05/2023;11:55:39;138910793;success;atm
TRX000133;ACC00750;debit;503242;Blibli;shopping;19/08/2024;03:11:22;0;success;merchant
TRX000134;ACC00086;transfer_out;20573033;Transfer;transfer;14/02/2023;01:44:24;216312998;success;mobile_app
TRX000135;ACC00303;debit;1708390;Ruangguru;education;02/07/2022;18:26:37;38221761;success;mobile_app
TRX000136;ACC00527;credit;680348;Salary;transfer;06/06/2022;07:48:35;28286996;success;web
TRX000137;ACC00543;debit;1355100;Watsons;health;29/09/2022;16:51:47;41646278;success;mobile_app
TRX000138;ACC00581;debit;1778114;Shopee;shopping;17/05/2024;22:10:03;30463527;success;atm
TRX000139;ACC00682;transfer_out;16523873;Transfer;transfer;04/06/2023;15:32:07;0;success;mobile_app
TRX000140;ACC00391;credit;9935702;Salary;transfer;18/08/2023;23:23:07;51106717;success;mobile_app
TRX000141;ACC00410;transfer_out;4661885;Transfer;transfer;29/03/2023;02:28:41;10785008;success;web
TRX000142;ACC01054;debit;1966017;Alfamart;groceries;22/07/2023;21:46:51;495627071;success;mobile_app
TRX000143;ACC00137;debit;1021572;Coursera;education;26/02/2025;02:29:19;30264286;success;mobile_app
TRX000144;ACC00312;transfer_in;14305799;Transfer;transfer;11/09/2023;20:20:13;246052301;success;mobile_app
TRX000145;ACC00546;top_up;90207;BPJS;bills;08/11/2023;15:22:02;7575139;success;mobile_app
TRX000146;ACC01129;debit;1307929;XL Axiata;bills;12/03/2022;23:50:12;3223250;success;atm
TRX000147;ACC00912;credit;5961261;Shopee;shopping;10/06/2023;06:12:36;289151137;success;mobile_app
TRX000148;ACC00924;transfer_out;26591271;Transfer;transfer;01/08/2024;00:51:33;35398126;success;mobile_app
TRX000149;ACC00793;debit;1210892;PDAM;bills;13/07/2023;08:51:06;22727931;success;merchant
TRX000150;ACC00170;debit;315988;Coursera;education;18/06/2023;19:12:22;36599713;success;web
TRX000151;ACC00374;debit;12929;Bakmi GM;food_delivery;10/12/2024;02:32:34;14296562;success;atm
TRX000152;ACC00280;debit;336366;Disney+;entertainment;07/07/2024;10:13:33;42910399;success;web
TRX000153;ACC00193;debit;691471;Ruangguru;education;22/01/2023;09:29:23;45985565;success;mobile_app
TRX000154;ACC00227;transfer_out;28138954;Transfer;transfer;23/04/2024;09:53:59;0;success;mobile_app
TRX000155;ACC00471;debit;1983016;Lazada;shopping;05/08/2023;13:10:00;10487704;success;mobile_app
TRX000156;ACC00578;debit;535673;Watsons;health;14/12/2022;04:42:15;133601136;success;mobile_app
TRX000157;ACC00011;credit;1448549;Shopee;shopping;28/08/2023;07:17:24;42128198;success;mobile_app
TRX000158;ACC00834;transfer_out;8746907;Transfer;transfer;25/08/2024;21:03:46;11745659;success;mobile_app
TRX000159;ACC00127;transfer_out;8433083;Transfer;transfer;12/12/2024;02:03:28;23247028;success;merchant
TRX000160;ACC00876;debit;408219;Shopee;shopping;02/06/2022;08:40:48;41949427;success;merchant
TRX000161;ACC00442;debit;367474;Bluebird;transport;07/08/2022;15:21:25;0;success;mobile_app
TRX000162;ACC00100;top_up;363826;Bluebird;transport;25/06/2022;16:46:58;20787133;success;mobile_app
TRX000163;ACC00299;debit;1423714;XXI Cinema;entertainment;13/03/2024;11:46:51;28071988;success;mobile_app
TRX000164;ACC00834;top_up;636295;Indihome;bills;01/06/2024;22:48:56;16256349;success;web
TRX000165;ACC00286;credit;1709332;Hypermart;groceries;27/08/2024;17:10:36;438293833;success;merchant
TRX000166;ACC00804;debit;1694000;XL Axiata;bills;01/01/2023;05:05:52;25791620;success;mobile_app
TRX000167;ACC00253;transfer_in;10839591;Transfer;transfer;08/07/2023;16:07:18;9997557;success;mobile_app
TRX000168;ACC00018;transfer_out;7311149;Transfer;transfer;17/11/2024;11:44:45;23345369;success;web
TRX000169;ACC00479;transfer_in;19193127;Transfer;transfer;11/12/2022;13:20:09;11427071;success;mobile_app
TRX000170;ACC00403;transfer_out;1074373;Transfer;transfer;10/08/2022;14:19:56;491624495;success;mobile_app
TRX000171;ACC00129;transfer_in;34063042;Transfer;transfer;12/09/2023;22:19:27;26246453;success;web
TRX000172;ACC00954;credit;5037782;Indomaret;groceries;15/01/2025;04:29:11;40748055;success;mobile_app
TRX000173;ACC00942;credit;5535289;Indomaret;groceries;02/05/2024;09:17:44;124417028;success;mobile_app
TRX000174;ACC00767;debit;323594;KFC;food_delivery;22/02/2022;03:06:12;34144112;success;web
TRX000175;ACC00772;transfer_out;7355749;Transfer;transfer;29/07/2022;11:25:53;423525884;success;merchant
TRX000176;ACC00423;transfer_out;7962892;Transfer;transfer;17/08/2023;05:34:16;31914883;success;merchant
TRX000177;ACC00310;debit;1533638;Telkomsel;bills;23/12/2022;12:30:53;14887634;success;atm
TRX000178;ACC00610;top_up;175778;PDAM;bills;04/10/2023;07:59:53;531619;success;mobile_app
TRX000179;ACC00606;credit;7448943;Salary;transfer;06/07/2024;15:24:01;15665536;success;merchant
TRX000180;ACC00331;transfer_in;49206310;Transfer;transfer;10/02/2023;20:40:59;52631576;success;merchant
TRX000181;ACC00496;transfer_in;28729060;Transfer;transfer;20/03/2024;15:19:03;199957587;success;atm
TRX000182;ACC00786;credit;2299716;Salary;transfer;23/03/2022;14:41:21;1299913;success;mobile_app
TRX000183;ACC00130;debit;1756004;Steam;entertainment;15/03/2022;11:54:04;2134186;success;atm
TRX000184;ACC00475;top_up;161666;Pertamina;transport;09/10/2022;11:17:11;41004025;success;mobile_app
TRX000185;ACC00710;transfer_out;14708857;Transfer;transfer;25/12/2024;18:42:13;334013716;success;mobile_app
TRX000186;ACC01195;top_up;465503;Steam;entertainment;25/04/2023;18:35:20;143461577;success;mobile_app
TRX000187;ACC00254;transfer_out;5729405;Transfer;transfer;13/11/2024;18:12:58;21717097;success;atm
TRX000188;ACC00483;top_up;666994;Telkomsel;bills;29/01/2025;20:27:33;105946524;success;web
TRX000189;ACC00095;debit;1374645;Disney+;entertainment;24/07/2024;20:14:05;16860180;success;atm
TRX000190;ACC00898;transfer_in;4849731;Transfer;transfer;15/06/2022;23:27:43;48845117;success;atm
TRX000191;ACC00471;transfer_in;43774493;Transfer;transfer;27/01/2023;10:15:19;15348241;success;merchant
TRX000192;ACC00140;debit;1719379;Ruangguru;education;12/10/2024;15:23:00;134742441;success;web
TRX000193;ACC00730;transfer_in;44299410;Transfer;transfer;29/03/2024;06:50:22;18186785;success;mobile_app
TRX000194;ACC00278;credit;7005891;Salary;transfer;25/05/2022;07:34:59;13099278;success;mobile_app
TRX000195;ACC00879;debit;1648174;XL Axiata;bills;27/07/2023;23:22:17;17071165;success;mobile_app
TRX000196;ACC00907;transfer_in;22691993;Transfer;transfer;26/07/2022;06:52:54;30188229;success;merchant
TRX000197;ACC00083;transfer_out;20596509;Transfer;transfer;18/05/2022;11:18:06;145426903;success;mobile_app
TRX000198;ACC00522;transfer_in;23882526;Transfer;transfer;13/08/2022;23:45:59;1990213;success;mobile_app
TRX000199;ACC00999;credit;5798291;Salary;transfer;17/04/2023;13:14:25;269796335;success;merchant
TRX000200;ACC00024;top_up;361456;Netflix;entertainment;31/05/2023;02:31:15;40579791;success;mobile_app
TRX000201;ACC00348;debit;291664;Guardian;health;25/10/2024;14:55:02;33754964;success;atm
TRX000202;ACC00428;debit;1741275;GrabFood;food_delivery;22/11/2024;02:28:04;9352212;success;atm
TRX000203;ACC00577;credit;5204085;Superindo;groceries;18/10/2023;04:52:07;28471997;success;mobile_app
TRX000204;ACC01078;transfer_out;19556673;Transfer;transfer;16/05/2024;07:48:54;25859699;success;mobile_app
TRX000205;ACC00176;debit;1281556;Spotify;entertainment;04/08/2022;00:34:32;51419290;success;mobile_app
TRX000206;ACC00604;debit;915937;Zalora;shopping;16/06/2023;21:53:01;261838846;success;mobile_app
TRX000207;ACC00234;credit;363942;Salary;transfer;05/05/2024;09:35:23;4823034;success;atm
TRX000208;ACC00089;top_up;145254;XL Axiata;bills;10/11/2022;09:04:45;32462136;success;mobile_app
TRX000209;ACC00215;credit;2310158;Hypermart;groceries;15/05/2024;02:27:40;36922355;success;web
TRX000210;ACC01089;transfer_in;42535341;Transfer;transfer;28/01/2023;05:48:04;18676549;failed;web
TRX000211;ACC01178;transfer_out;28706703;Transfer;transfer;23/01/2022;06:42:08;16477924;success;mobile_app
TRX000212;ACC00473;transfer_in;44679852;Transfer;transfer;11/10/2024;08:13:46;14956400;success;mobile_app
TRX000213;ACC00747;debit;100990;Apotek K24;health;16/05/2022;01:51:01;31787701;failed;mobile_app
TRX000214;ACC00005;debit;1329121;PLN;bills;13/02/2023;03:15:21;11085967;success;mobile_app
TRX000215;ACC01119;transfer_in;9036081;Transfer;transfer;07/04/2022;23:30:48;7614613;success;atm
TRX000216;ACC00317;transfer_in;40150302;Transfer;transfer;02/01/2024;13:48:55;15612127;success;mobile_app
TRX000217;ACC00211;credit;1337737;Transmart;groceries;19/02/2025;18:35:31;34823904;success;mobile_app
TRX000218;ACC00584;credit;7397655;Tokopedia;shopping;22/03/2023;16:30:29;478083;success;mobile_app
TRX000219;ACC00535;transfer_in;5738793;Transfer;transfer;27/12/2024;18:14:39;34907895;success;atm
TRX000220;ACC00399;debit;1072582;Zenius;education;21/03/2022;08:23:07;16610538;success;mobile_app
TRX000221;ACC00781;debit;1061284;Watsons;health;23/06/2022;20:47:50;11156187;success;merchant
TRX000222;ACC00561;debit;1139423;Superindo;groceries;04/04/2024;09:46:43;476559074;success;mobile_app
TRX000223;ACC00263;debit;1025986;Zalora;shopping;10/11/2023;19:12:58;24910928;success;mobile_app
TRX000224;ACC00796;debit;830610;Gojek;transport;11/01/2024;08:52:19;149415920;success;merchant
TRX000225;ACC00589;transfer_in;30168683;Transfer;transfer;16/06/2022;21:36:20;26107485;success;mobile_app
TRX000226;ACC00998;debit;668533;Guardian;health;18/01/2022;04:03:47;7942698;success;atm
TRX000227;ACC00185;transfer_out;6667599;Transfer;transfer;28/07/2024;17:42:17;16789970;success;mobile_app
TRX000228;ACC00848;credit;5892538;Hypermart;groceries;25/03/2023;21:20:17;199854307;success;merchant
TRX000229;ACC00086;credit;8709536;Transmart;groceries;26/04/2024;14:29:44;220493255;success;web
TRX000230;ACC00409;transfer_in;49083976;Transfer;transfer;05/10/2022;03:48:59;234535415;success;merchant
TRX000231;ACC00093;credit;2396095;Lotte Mart;groceries;19/01/2022;08:01:49;20178248;success;web
TRX000232;ACC00171;top_up;830291;Indihome;bills;04/04/2024;03:44:28;9906843;success;atm
TRX000233;ACC00470;credit;312129;Tokopedia;shopping;17/02/2022;22:19:35;51596007;success;mobile_app
TRX000234;ACC01191;debit;887529;Indihome;bills;02/11/2022;13:08:49;251774987;success;mobile_app
TRX000235;ACC00112;debit;552661;Guardian;health;18/06/2022;03:51:01;33368825;success;web
TRX000236;ACC01139;credit;281185;Salary;transfer;12/05/2023;05:20:29;24800988;success;atm
TRX000237;ACC00702;transfer_in;15141033;Transfer;transfer;01/03/2022;14:15:08;37156998;success;mobile_app
TRX000238;ACC01030;transfer_out;19051696;Transfer;transfer;15/09/2024;21:57:16;267082058;success;merchant
TRX000239;ACC00536;transfer_in;3928361;Transfer;transfer;19/06/2023;07:32:06;3466598;success;mobile_app
TRX000240;ACC00305;top_up;611269;Indihome;bills;07/04/2024;18:10:18;15539764;success;mobile_app
TRX000241;ACC00696;transfer_out;4117199;Transfer;transfer;04/08/2022;21:12:03;45985674;success;web
TRX000242;ACC01038;transfer_out;9727512;Transfer;transfer;17/05/2023;04:15:05;24703336;success;mobile_app
TRX000243;ACC00927;transfer_out;3301335;Transfer;transfer;10/11/2024;03:10:29;47709330;success;atm
TRX000244;ACC00201;transfer_out;15975924;Transfer;transfer;27/04/2022;00:15:17;41629452;success;merchant
TRX000245;ACC01131;debit;1538482;Bluebird;transport;20/02/2024;21:30:18;10685370;success;atm
TRX000246;ACC00808;debit;299558;Tokopedia;shopping;14/11/2022;06:07:04;179328962;success;mobile_app
TRX000247;ACC00268;transfer_in;7719717;Transfer;transfer;25/02/2022;20:08:01;42008459;success;mobile_app
TRX000248;ACC00833;debit;1555612;Watsons;health;22/02/2023;01:50:02;333404814;success;mobile_app
TRX000249;ACC00440;debit;1425361;Indihome;bills;02/12/2022;20:55:27;30338388;success;atm
TRX000250;ACC00614;transfer_out;12315399;Transfer;transfer;14/02/2023;17:16:42;191154505;success;mobile_app
TRX000251;ACC01034;debit;1755919;Halodoc;health;03/10/2023;21:48:39;127851605;success;merchant
TRX000252;ACC00762;debit;307101;Halodoc;health;29/12/2024;08:54:52;23585304;success;mobile_app
TRX000253;ACC00525;credit;5363853;Alfamart;groceries;02/04/2024;16:08:46;365315332;success;mobile_app
TRX000254;ACC00262;debit;1293542;PLN;bills;10/01/2023;06:08:12;30631205;success;web
TRX000255;ACC00906;transfer_in;23441329;Transfer;transfer;12/11/2024;01:44:13;14596548;success;atm
TRX000256;ACC00425;credit;557675;Tokopedia;shopping;12/10/2024;10:02:55;11597174;success;merchant
TRX000257;ACC00766;debit;1448909;Zenius;education;09/01/2024;08:50:50;10606245;success;mobile_app
TRX000258;ACC00877;debit;1485858;Coursera;education;27/09/2024;15:16:18;34054680;success;web
TRX000259;ACC00952;debit;1241658;Netflix;entertainment;19/09/2023;13:18:51;141681664;success;mobile_app
TRX000260;ACC01063;debit;1201811;Pertamina;transport;02/09/2023;17:27:08;41867642;success;mobile_app
TRX000261;ACC00893;transfer_out;16721153;Transfer;transfer;05/08/2024;18:14:50;45632452;success;mobile_app
TRX000262;ACC00713;transfer_in;25590571;Transfer;transfer;12/02/2022;18:06:08;306775694;success;mobile_app
